i, timestamp, command_velocity, target_velocity, actual_velocity, theory_q, actual_q, actual_qdd
 0, 0.000000, 0.001000, 0.000000, 0.000000, -2.280000, -2.280000, 0.000000
  1, 0.008047, 0.002000, 0.000000, 0.000000, -2.279984, -2.280000, 0.000000
  2, 0.016130, 0.004000, 0.001000, 0.001000, -2.279952, -2.279992, 0.125000
  3, 0.024236, 0.007000, 0.002000, 0.002000, -2.279896, -2.279976, 0.125000
  4, 0.032302, 0.011000, 0.004000, 0.004000, -2.279808, -2.279945, 0.250000
  5, 0.040366, 0.016000, 0.007000, 0.007000, -2.279680, -2.279890, 0.375000
  6, 0.048433, 0.022000, 0.011000, 0.011000, -2.279504, -2.279805, 0.500000
  7, 0.056568, 0.029000, 0.016000, 0.016000, -2.279272, -2.279713, 0.625000
  8, 0.064645, 0.037000, 0.022000, 0.022000, -2.278976, -2.279555, 0.750000
  9, 0.072751, 0.046000, 0.037000, 0.037000, -2.278608, -2.279327, 1.875000
 10, 0.080819, 0.056000, 0.046000, 0.046000, -2.278160, -2.278990, 1.125000
 11, 0.088887, 0.067000, 0.056000, 0.056000, -2.277624, -2.278579, 1.250000
 12, 0.096960, 0.079000, 0.067000, 0.067000, -2.276992, -2.278085, 1.375000
 13, 0.105028, 0.092000, 0.079000, 0.079000, -2.276256, -2.277501, 1.500000
 14, 0.113197, 0.106000, 0.091000, 0.091000, -2.275408, -2.277003, 1.499998
 15, 0.121277, 0.121000, 0.104000, 0.104000, -2.274440, -2.276243, 1.624999
 16, 0.129356, 0.137000, 0.118000, 0.118000, -2.273344, -2.275372, 1.750000
 17, 0.137434, 0.154000, 0.133000, 0.133000, -2.272112, -2.274381, 1.875000
 18, 0.145515, 0.172000, 0.149000, 0.149000, -2.270736, -2.273264, 1.999999
 19, 0.153587, 0.191000, 0.166000, 0.166000, -2.269208, -2.272012, 2.125000
 20, 0.161658, 0.211000, 0.184000, 0.184000, -2.267520, -2.270618, 2.250001
 21, 0.169724, 0.232000, 0.203000, 0.203000, -2.265664, -2.269074, 2.374999
 22, 0.178301, 0.254000, 0.223000, 0.223000, -2.263632, -2.267373, 2.499999
 23, 0.186375, 0.277000, 0.238000, 0.238000, -2.261416, -2.265989, 1.875000
 24, 0.194443, 0.301000, 0.254000, 0.254000, -2.259008, -2.264507, 2.000005
 25, 0.202541, 0.326000, 0.277000, 0.277000, -2.256400, -2.262379, 2.875000
 26, 0.210602, 0.325000, 0.301000, 0.301000, -2.253800, -2.260067, 2.999997
 27, 0.218745, 0.323000, 0.319000, 0.319000, -2.251216, -2.258207, 2.249998
 28, 0.227453, 0.320000, 0.323000, 0.323000, -2.248656, -2.256917, 0.500005
 29, 0.235533, 0.316000, 0.323000, 0.323000, -2.246128, -2.254333, 0.000000
 30, 0.243624, 0.311000, 0.317000, 0.317000, -2.243640, -2.251755, -0.749996
 31, 0.251715, 0.305000, 0.316000, 0.316000, -2.241200, -2.249859, -0.125004
 32, 0.259791, 0.298000, 0.311000, 0.311000, -2.238816, -2.247366, -0.625003
 33, 0.267861, 0.290000, 0.305000, 0.305000, -2.236496, -2.244920, -0.749998
 34, 0.275947, 0.281000, 0.298000, 0.298000, -2.234248, -2.243124, -0.875000
 35, 0.284024, 0.271000, 0.281000, 0.281000, -2.232080, -2.240794, -2.125002
 36, 0.292093, 0.260000, 0.271000, 0.271000, -2.230000, -2.238589, -1.249999
 37, 0.300181, 0.248000, 0.260000, 0.260000, -2.228016, -2.236987, -1.375001
 38, 0.308253, 0.235000, 0.248000, 0.248000, -2.226136, -2.234931, -1.499995
 39, 0.316358, 0.221000, 0.236000, 0.236000, -2.224368, -2.232971, -1.499999
 40, 0.324460, 0.206000, 0.223000, 0.223000, -2.222720, -2.231115, -1.624999
 41, 0.332556, 0.190000, 0.209000, 0.209000, -2.221200, -2.229370, -1.750000
 42, 0.340616, 0.173000, 0.194000, 0.194000, -2.219816, -2.227745, -1.875000
 43, 0.348675, 0.155000, 0.184000, 0.184000, -2.218576, -2.226608, -1.250000
 44, 0.356843, 0.136000, 0.167000, 0.167000, -2.217488, -2.225210, -2.125000
 45, 0.364920, 0.116000, 0.149000, 0.149000, -2.216560, -2.223952, -2.249999
 46, 0.372995, 0.095000, 0.130000, 0.130000, -2.215800, -2.222842, -2.374999
 47, 0.381066, 0.073000, 0.110000, 0.110000, -2.215216, -2.221887, -2.500001
 48, 0.389145, 0.050000, 0.098000, 0.098000, -2.214816, -2.221471, -1.500000
 49, 0.397220, 0.026000, 0.073000, 0.073000, -2.214608, -2.220615, -3.125006
 
